Time - Plot 0,Amplitude - Plot 0
21:05.016517,-1.26557
21:05.024662,-1.55161
21:05.082024,-3.56762
21:05.090574,-3.98459
21:05.099192,-3.44696
21:05.108199,-4.35354
21:05.115984,-4.6142
21:05.125187,-4.25458
21:05.182466,-4.55022
21:05.191162,-4.48884
21:05.199140,-5.14893
21:05.208713,-6.28588
21:05.216725,-6.84223
21:05.225758,-7.31764
21:05.283230,-8.80557
21:05.291801,-9.2934
21:05.300407,-9.47251
21:05.308673,-9.50331
21:05.317960,-9.48883
21:05.326755,-9.44744
21:05.383940,-8.44084
21:05.392529,-8.00991
21:05.401329,-7.22636
21:05.410088,-6.92918
21:05.418875,-6.78661
21:05.426916,-5.95929
21:05.485008,-3.02914
21:05.493558,-2.49537
21:05.502151,-2.04895
21:05.511284,-1.47118
21:05.520423,-1.15679
21:05.528583,-0.964299
21:05.585865,-3.44835
21:05.594778,-3.5709
21:05.602778,-4.17308
21:05.611833,-4.62422
21:05.620929,-5.21461
21:05.629700,-6.22163
21:05.686378,-7.65507
21:05.695083,-7.88341
21:05.703666,-8.09287
21:05.712441,-8.20717
21:05.721531,-8.35363
21:05.730096,-8.35462
21:05.739597,-8.43452
21:05.796655,-8.74464
21:05.805293,-9.0926
21:05.813348,-8.96923
21:05.822558,-8.89937
21:05.831664,-9.13483
21:05.841886,-8.9403
21:05.898822,-7.59501
21:05.907398,-7.21357
21:05.916425,-6.721
21:05.924578,-6.36881
21:05.934269,-5.76066
21:05.943799,-5.15534
21:06.000529,-1.6327
21:06.009096,-1.03649
21:06.017267,-0.624503
21:06.026379,-0.40449
21:06.035846,-0.517947
21:06.044975,-0.32362
21:06.101816,-2.3019
21:06.110409,-2.4811
21:06.119442,-3.76469
21:06.128414,-4.05234
21:06.137162,-4.60108
21:06.146252,-5.01601
21:06.203099,-8.89077
21:06.212163,-9.42237
21:06.220016,-9.67284
21:06.229889,-9.34755
21:06.237977,-9.51871
21:06.247921,-9.99602
21:06.304870,-9.18756
21:06.312982,-9.28039
21:06.322176,-9.56908
21:06.331447,-8.70353
21:06.339532,-8.01633
21:06.350029,-7.14215
21:06.407136,-3.9143
21:06.415012,-4.17125
21:06.424100,-2.78538
21:06.433688,-2.08813
21:06.442457,-1.70293
21:06.451157,-1.44424
21:06.508185,-0.269199
21:06.516583,-0.32169
21:06.525406,-0.867021
21:06.534186,-0.878641
21:06.543229,-1.16096
21:06.552470,-1.71929
21:06.609167,-5.61853
21:06.617745,-6.10449
21:06.625803,-6.32748
21:06.634961,-6.57031
21:06.644148,-7.97213
21:06.701110,-8.61793
21:06.709965,-10.1885
21:06.718289,-10.3383
21:06.727430,-10.352
21:06.736090,-10.2525
21:06.745145,-9.98269
21:06.755133,-9.71384
21:06.811373,-6.80125
21:06.819347,-6.25626
21:06.827876,-5.6804
21:06.837142,-4.64618
21:06.846377,-4.06552
21:06.903757,-3.96272
21:06.912548,-0.533916
21:06.920413,-0.387011
21:06.929923,-0.332613
21:06.938888,-0.373312
21:06.947821,-0.377439
21:06.956882,-0.400183
21:07.014477,-3.28569
21:07.022601,-3.99292
21:07.031641,-4.68458
21:07.040816,-5.8073
21:07.049858,-6.15714
21:07.059119,-6.26571
21:07.116109,-9.86108
21:07.124712,-10.395
21:07.133447,-10.3799
21:07.142093,-10.4534
21:07.151140,-10.3942
21:07.207897,-10.4729
21:07.216947,-7.57986
21:07.225639,-8.14588
21:07.234211,-8.31885
21:07.243039,-5.88967
21:07.252109,-6.62212
21:07.260800,-5.18342
21:07.317909,-0.951604
21:07.325659,-1.1811
21:07.334638,-0.639678
21:07.343622,-0.410375
21:07.352578,-0.521782
21:07.361357,-0.382073
21:07.418160,-2.34128
21:07.426821,-2.38216
21:07.435503,-3.80387
21:07.444562,-4.65462
21:07.452749,-4.98244
21:07.461975,-5.31194
21:07.517967,-9.0706
21:07.527121,-9.55904
21:07.536171,-9.76651
21:07.544934,-9.7064
21:07.553955,-10.0649
21:07.562426,-10.1818
21:07.619654,-9.1905
21:07.627751,-8.68235
21:07.637054,-8.46531
21:07.645433,-8.42521
21:07.654697,-7.56229
21:07.663453,-7.19637
21:07.672966,-6.58936
21:07.729150,-1.94598
21:07.737922,-1.94275
21:07.746031,-1.25112
21:07.755175,-0.775365
21:07.764290,-0.903248
21:07.774116,-0.624742
21:07.830711,-1.87016
21:07.839183,-2.14811
21:07.847298,-2.92742
21:07.856020,-3.35199
21:07.865839,-3.73327
21:07.875152,-4.44811
21:07.932267,-9.06102
21:07.941287,-9.5076
21:07.949326,-9.55421
21:07.957918,-9.7221
21:07.967727,-10.142
21:07.976893,-10.2799
21:08.034118,-8.83168
21:08.042148,-8.71848
21:08.051402,-8.0781
21:08.059738,-6.98927
21:08.068594,-6.13881
21:08.126813,-5.00748
21:08.135408,-1.5941
21:08.144184,-1.22912
21:08.152564,-0.855127
21:08.160947,-0.428514
21:08.169946,-0.320573
21:08.227757,-0.383467
21:08.236279,-3.14875
21:08.244802,-3.05357
21:08.253881,-3.96959
21:08.261744,-5.04798
21:08.270982,-6.13179
21:08.327785,-7.08707
21:08.336986,-9.53391
21:08.345770,-9.76971
21:08.354223,-9.96082
21:08.362484,-9.95552
21:08.371691,-9.92075
21:08.429860,-9.79281
21:08.437952,-7.07866
21:08.447279,-6.57143
21:08.455745,-5.89143
21:08.464382,-5.03094
21:08.473312,-4.18678
21:08.481330,-3.9015
21:08.539295,-0.599442
21:08.547945,-0.259168
21:08.556576,-0.251401
21:08.564416,-0.28066
21:08.573742,-0.440638
21:08.582513,-0.764375
21:08.639579,-4.28567
21:08.648360,-5.21023
21:08.657130,-6.14285
21:08.665903,-5.24989
21:08.674694,-6.62926
21:08.683819,-7.08776
21:08.740232,-9.8419
