Time - Plot 0,Amplitude - Plot 0
1070345:30:51.964509,-5.3018
1070345:30:51.973749,-5.7618
1070345:30:51.982479,-6.12955
1070345:30:52.040642,-7.73594
1070345:30:52.048746,-11.6437
1070345:30:52.057608,-11.6438
1070345:30:52.066537,-11.6436
1070345:30:52.075610,-11.6441
1070345:30:52.084457,-11.644
1070345:30:52.141960,-11.644
1070345:30:52.151001,-11.6436
1070345:30:52.159313,-11.6437
1070345:30:52.168345,-11.6438
1070345:30:52.176673,-11.6432
1070345:30:52.185671,-11.6433
1070345:30:52.194539,-11.6431
1070345:30:52.251884,-11.6432
1070345:30:52.261145,-11.6431
1070345:30:52.270245,-11.6434
1070345:30:52.278174,-11.6429
1070345:30:52.287070,-11.643
1070345:30:52.295431,-11.6432
1070345:30:52.353320,-11.643
1070345:30:52.362441,-11.6432
1070345:30:52.370526,-11.6432
1070345:30:52.379496,-11.6434
1070345:30:52.388181,-11.6435
1070345:30:52.396493,-11.6434
1070345:30:52.407320,-11.6433
1070345:30:52.463848,-11.6431
1070345:30:52.472580,-11.6436
1070345:30:52.480902,-11.6435
1070345:30:52.490038,-11.6434
1070345:30:52.498084,-11.6431
1070345:30:52.508322,-11.6442
1070345:30:52.565365,-11.6433
1070345:30:52.573903,-10.8189
1070345:30:52.582971,-9.94742
1070345:30:52.591213,-9.30326
1070345:30:52.600118,-7.75962
1070345:30:52.610017,-4.93224
1070345:30:52.666397,-7.91633
1070345:30:52.674393,-6.85063
1070345:30:52.683215,-7.94158
1070345:30:52.692326,-11.6446
1070345:30:52.701283,-11.6442
1070345:30:52.759225,-11.6437
1070345:30:52.767406,-11.6439
1070345:30:52.776414,-11.6439
1070345:30:52.784853,-11.6436
1070345:30:52.793860,-11.6433
1070345:30:52.802991,-11.6434
1070345:30:52.860208,-11.6432
1070345:30:52.869056,-11.6436
1070345:30:52.877846,-11.6432
1070345:30:52.885989,-11.6433
1070345:30:52.894410,-11.6432
1070345:30:52.903624,-11.6435
1070345:30:52.912728,-11.6435
1070345:30:52.969630,-11.6435
1070345:30:52.978650,-11.6438
1070345:30:52.987437,-11.6435
1070345:30:52.995118,-11.6436
1070345:30:53.004025,-9.25267
1070345:30:53.012999,-6.03699
1070345:30:53.023307,-4.72869
1070345:30:53.079789,-2.73986
1070345:30:53.088487,-2.55699
1070345:30:53.097500,-4.15351
1070345:30:53.105722,-7.43328
1070345:30:53.114534,-11.2392
1070345:30:53.124689,-11.6435
1070345:30:53.182002,-11.6434
1070345:30:53.191019,-11.643
1070345:30:53.199192,-11.6431
1070345:30:53.208030,-11.6438
1070345:30:53.217062,-11.644
1070345:30:53.226563,-11.6434
1070345:30:53.283437,-11.6437
1070345:30:53.291781,-11.6441
1070345:30:53.300969,-11.644
1070345:30:53.308560,-11.6439
1070345:30:53.318242,-11.6439
1070345:30:53.328383,-11.643
1070345:30:53.385178,-11.6443
1070345:30:53.393959,-10.787
1070345:30:53.402526,-11.5264
1070345:30:53.411125,-9.25164
1070345:30:53.419908,-5.55545
1070345:30:53.429022,-3.03
1070345:30:53.486582,-4.12602
1070345:30:53.494549,-5.35508
1070345:30:53.503979,-6.69671
1070345:30:53.512311,-9.25535
1070345:30:53.521421,-11.6432
1070345:30:53.578557,-11.6435
1070345:30:53.587455,-11.6434
1070345:30:53.596251,-11.6435
1070345:30:53.604546,-11.6435
1070345:30:53.613543,-11.6433
1070345:30:53.621915,-11.6433
1070345:30:53.679584,-11.6433
1070345:30:53.688180,-11.6434
1070345:30:53.696657,-11.6434
1070345:30:53.705725,-11.6434
1070345:30:53.714574,-11.6436
1070345:30:53.723299,-11.6434
1070345:30:53.732419,-11.6437
1070345:30:53.790154,-11.6438
1070345:30:53.798252,-9.2725
1070345:30:53.807497,-8.57817
1070345:30:53.815675,-8.10357
1070345:30:53.824549,-6.96404
1070345:30:53.833735,-4.67386
1070345:30:53.890725,-4.16911
1070345:30:53.899329,-4.48694
1070345:30:53.908117,-4.80613
1070345:30:53.916811,-5.49797
1070345:30:53.924588,-8.38844
1070345:30:53.933808,-11.6442
1070345:30:53.991942,-11.6432
1070345:30:54.000249,-11.6442
1070345:30:54.009276,-11.6438
1070345:30:54.017952,-11.6437
1070345:30:54.026647,-11.6438
1070345:30:54.035851,-11.6435
1070345:30:54.093426,-11.6437
1070345:30:54.102448,-11.6434
1070345:30:54.110503,-11.6433
1070345:30:54.119739,-11.6434
1070345:30:54.128743,-11.643
1070345:30:54.137661,-11.6431
1070345:30:54.194392,-11.6435
1070345:30:54.203428,-11.6434
1070345:30:54.211389,-11.6433
1070345:30:54.220574,-8.31488
1070345:30:54.228709,-6.37632
1070345:30:54.237741,-6.90195
1070345:30:54.295500,-2.69971
1070345:30:54.304531,-5.62781
1070345:30:54.313331,-7.28824
1070345:30:54.322023,-9.08212
1070345:30:54.330727,-8.17314
1070345:30:54.339547,-11.2756
1070345:30:54.396970,-11.6433
1070345:30:54.405363,-11.6432
1070345:30:54.413712,-11.6434
1070345:30:54.422779,-11.6431
1070345:30:54.431411,-11.6432
1070345:30:54.439398,-11.643
1070345:30:54.497356,-11.6433
1070345:30:54.505689,-11.6431
1070345:30:54.514542,-11.6434
1070345:30:54.523030,-11.6436
1070345:30:54.532033,-11.6433
1070345:30:54.539649,-11.6437
1070345:30:54.598786,-11.6435
1070345:30:54.606793,-11.6438
1070345:30:54.616068,-9.53948
1070345:30:54.624593,-8.46337
1070345:30:54.633781,-5.36242
1070345:30:54.642504,-3.90669
1070345:30:54.699536,-2.66374
1070345:30:54.708189,-4.28014
1070345:30:54.716584,-5.83206
1070345:30:54.725646,-6.32903
1070345:30:54.734358,-8.27718
1070345:30:54.742867,-11.6442
1070345:30:54.800763,-11.6433
1070345:30:54.809505,-11.6437
1070345:30:54.818162,-11.6439
1070345:30:54.826328,-11.6438
1070345:30:54.835155,-11.6438
1070345:30:54.844161,-11.6439
1070345:30:54.901569,-11.6436
1070345:30:54.910576,-11.644
1070345:30:54.918559,-11.6441
1070345:30:54.927565,-11.6436
1070345:30:54.936369,-11.6431
1070345:30:54.944238,-11.6433
1070345:30:55.001792,-7.73352
1070345:30:55.010947,-7.90292
1070345:30:55.019124,-4.77337
1070345:30:55.027974,-3.0524
1070345:30:55.036633,-5.99083
1070345:30:55.045437,-8.75443
1070345:30:55.102219,-11.6442
1070345:30:55.110705,-11.6439
1070345:30:55.119739,-11.6431
1070345:30:55.128314,-11.6432
1070345:30:55.136815,-11.6431
1070345:30:55.145452,-11.6433
1070345:30:55.203372,-11.6433
1070345:30:55.213058,-11.6431
1070345:30:55.221042,-11.6431
1070345:30:55.229554,-11.6432
1070345:30:55.238789,-11.6432
1070345:30:55.247634,-11.6428
1070345:30:55.304274,-11.6434
1070345:30:55.313323,-11.6433
1070345:30:55.322237,-11.6434
1070345:30:55.330689,-11.6432
1070345:30:55.339605,-11.6432
1070345:30:55.348362,-11.6431
1070345:30:55.406145,-8.81427
1070345:30:55.414366,-9.58997
1070345:30:55.423335,-11.6435
1070345:30:55.432272,-11.6431
1070345:30:55.440246,-11.6433
1070345:30:55.449277,-11.6433
1070345:30:55.506673,-11.6431
1070345:30:55.515615,-11.6431
1070345:30:55.523822,-11.6433
1070345:30:55.533055,-11.6433
1070345:30:55.542282,-11.643
1070345:30:55.551331,-11.6435
1070345:30:55.607502,-11.6431
1070345:30:55.616303,-11.6435
1070345:30:55.625175,-11.6433
1070345:30:55.634139,-11.6435
1070345:30:55.642142,-11.6441
1070345:30:55.650712,-11.6442
1070345:30:55.660747,-11.6443
1070345:30:55.718012,-11.644
1070345:30:55.726405,-11.1175
1070345:30:55.735662,-9.71909
1070345:30:55.744373,-7.7019
1070345:30:55.752394,-5.02632
1070345:30:55.762454,-4.18184
1070345:30:55.819348,-11.3148
1070345:30:55.828295,-11.6438
1070345:30:55.836210,-11.6434
1070345:30:55.845435,-11.6433
1070345:30:55.853393,-11.6433
1070345:30:55.863688,-11.6434
1070345:30:55.920540,-11.6435
1070345:30:55.929808,-11.643
1070345:30:55.938123,-11.6431
1070345:30:55.946425,-11.6432
1070345:30:55.954585,-11.6432
1070345:30:55.964563,-11.6433
1070345:30:56.021873,-11.6433
1070345:30:56.030632,-11.6433
1070345:30:56.039841,-11.6432
1070345:30:56.047526,-11.6431
1070345:30:56.056921,-11.6431
1070345:30:56.113988,-11.6429
1070345:30:56.122723,-7.23595
1070345:30:56.131722,-5.79592
1070345:30:56.140519,-5.07954
1070345:30:56.149384,-2.52684
1070345:30:56.157983,-1.62238
1070345:30:56.214421,-1.64328
1070345:30:56.223753,-9.30907
1070345:30:56.231773,-11.6436
1070345:30:56.240732,-11.643
1070345:30:56.249707,-11.6433
1070345:30:56.259206,-11.6433
1070345:30:56.316602,-11.6435
1070345:30:56.325578,-11.6431
1070345:30:56.333967,-11.6432
1070345:30:56.342992,-11.6434
1070345:30:56.351862,-11.6438
1070345:30:56.359932,-11.644
1070345:30:56.417422,-11.6439
1070345:30:56.425928,-11.6437
1070345:30:56.434935,-11.6442
1070345:30:56.444078,-11.6439
1070345:30:56.452110,-11.6439
1070345:30:56.461132,-11.6439
1070345:30:56.470134,-11.6436
1070345:30:56.527257,-2.46024
1070345:30:56.535662,-2.03625
1070345:30:56.544482,-1.85664
1070345:30:56.552976,-2.47773
1070345:30:56.561214,-3.04206
1070345:30:56.570485,-4.68771
1070345:30:56.628617,-11.6438
1070345:30:56.637330,-11.6435
1070345:30:56.646437,-11.6436
1070345:30:56.654372,-11.643
1070345:30:56.663606,-11.6432
1070345:30:56.672395,-11.6431
1070345:30:56.728909,-11.643
1070345:30:56.737544,-11.6432
1070345:30:56.746207,-11.6429
1070345:30:56.755142,-11.6435
1070345:30:56.763739,-11.6433
1070345:30:56.772597,-11.6436
1070345:30:56.830015,-11.6433
1070345:30:56.838742,-11.6434
1070345:30:56.847331,-11.6436
1070345:30:56.856572,-8.48267
1070345:30:56.864458,-8.84452
1070345:30:56.873680,-8.13268
1070345:30:56.930987,-4.58513
1070345:30:56.939754,-7.52131
1070345:30:56.948632,-8.41757
1070345:30:56.957676,-8.44243
1070345:30:56.966500,-11.4863
1070345:30:56.974590,-11.6433
1070345:30:57.031787,-11.6434
1070345:30:57.040443,-11.6431
1070345:30:57.048909,-11.6432
1070345:30:57.057489,-11.6431
1070345:30:57.066601,-11.6434
1070345:30:57.074569,-11.6433
1070345:30:57.084607,-11.6431
1070345:30:57.142101,-11.6434
1070345:30:57.150765,-11.6434
1070345:30:57.160109,-11.6438
1070345:30:57.169122,-11.6438
1070345:30:57.177540,-11.6439
1070345:30:57.186812,-11.6436
1070345:30:57.243202,-5.36315
1070345:30:57.252209,-3.2973
1070345:30:57.260919,-2.71863
1070345:30:57.270163,-2.45282
1070345:30:57.278473,-2.012
1070345:30:57.287710,-2.28605
1070345:30:57.344677,-11.6436
1070345:30:57.353856,-11.6437
1070345:30:57.362693,-11.6432
1070345:30:57.371838,-11.6432
1070345:30:57.380466,-11.6432
1070345:30:57.389593,-11.643
1070345:30:57.447292,-11.6432
1070345:30:57.455712,-11.6436
1070345:30:57.464572,-11.6431
1070345:30:57.473574,-11.6434
1070345:30:57.482241,-11.643
1070345:30:57.491282,-11.6434
1070345:30:57.548478,-11.6433
1070345:30:57.556483,-11.6436
1070345:30:57.565384,-11.6436
1070345:30:57.574625,-8.78141
1070345:30:57.583389,-6.60617
1070345:30:57.641020,-5.64707
1070345:30:57.649770,-3.94467
1070345:30:57.658509,-5.89508
1070345:30:57.666997,-7.27843
1070345:30:57.676384,-10.6679
1070345:30:57.684483,-11.6441
1070345:30:57.741936,-11.6439
1070345:30:57.750674,-11.6431
1070345:30:57.758969,-11.6434
1070345:30:57.768210,-11.6433
1070345:30:57.777102,-11.6437
1070345:30:57.785809,-11.644
1070345:30:57.795626,-11.644
1070345:30:57.852364,-11.6437
1070345:30:57.860897,-11.6438
1070345:30:57.869629,-11.6437
1070345:30:57.878636,-11.6439
1070345:30:57.886651,-11.6432
1070345:30:57.895905,-11.6434
1070345:30:57.953596,-6.61702
1070345:30:57.962234,-5.71104
1070345:30:57.970638,-4.18851
1070345:30:57.979893,-2.42118
1070345:30:57.988501,-1.42787
1070345:30:57.997730,-1.83834
1070345:30:58.054513,-11.6437
1070345:30:58.063256,-11.6432
1070345:30:58.071927,-11.6431
1070345:30:58.080983,-11.6433
1070345:30:58.089586,-11.6432
1070345:30:58.098632,-11.6432
1070345:30:58.155600,-11.6434
1070345:30:58.164229,-11.6435
1070345:30:58.172463,-11.6432
1070345:30:58.181962,-11.6435
1070345:30:58.190540,-11.6432
1070345:30:58.247985,-11.6433
1070345:30:58.256307,-11.6433
1070345:30:58.265315,-11.6434
1070345:30:58.273837,-11.6435
1070345:30:58.282817,-11.6436
1070345:30:58.291510,-11.6434
1070345:30:58.349097,-9.07283
1070345:30:58.358073,-1.72623
1070345:30:58.366109,-1.74623
1070345:30:58.375274,-1.55164
1070345:30:58.384287,-3.93257
1070345:30:58.393314,-10.1589
1070345:30:58.450469,-11.3885
1070345:30:58.459235,-11.6432
1070345:30:58.467853,-11.6436
1070345:30:58.476789,-11.6432
1070345:30:58.485688,-11.6444
1070345:30:58.494563,-11.644
1070345:30:58.551517,-11.6436
1070345:30:58.560097,-11.6435
1070345:30:58.568514,-11.6437
1070345:30:58.576561,-11.6437
1070345:30:58.585907,-11.6437
1070345:30:58.594556,-11.6438
